dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,step,fraction,fraction_mean
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,129,0.9837521314620972,0.9961673617362976
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,130,0.9850232601165771,0.9899420142173767
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,131,0.9853348135948181,0.9965553283691406
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,132,0.9855625629425049,0.9973666667938232
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,133,0.9824119806289673,0.9978771805763245
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,134,0.9832859039306641,0.9972007870674133
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,135,0.9851595163345337,0.9962813854217529
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,136,0.9862106442451477,0.9988704919815063
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,137,0.9834804534912109,0.9920937418937683
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,138,0.9833393692970276,0.998589813709259
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,139,0.9848960041999817,0.9967166185379028
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,140,0.9841628074645996,0.9975424408912659
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,141,0.9845964908599854,0.9972395896911621
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,142,0.9833495616912842,0.9930242300033569
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,143,0.9820969700813293,0.9979640245437622
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,144,0.9830622673034668,0.9948962926864624
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,145,0.9841426610946655,0.9934027194976807
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,146,0.9844703674316406,0.9976171255111694
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,147,0.9846189022064209,0.998492419719696
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,148,0.9831310510635376,0.9967958331108093
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,149,0.9826353788375854,0.9988275766372681
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,150,0.9845016598701477,0.997491717338562
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,151,0.9837615489959717,0.9988276958465576
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,152,0.9819830060005188,0.9958813786506653
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,153,0.9794064164161682,0.9980705976486206
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,154,0.9825307130813599,0.9987164735794067
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,155,0.9841285347938538,0.9986357688903809
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,156,0.9850271940231323,0.9975457191467285
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,157,0.986954927444458,0.998910665512085
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,158,0.9828548431396484,0.9946337938308716
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,159,0.9815309047698975,0.9991253018379211
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,160,0.981823742389679,0.995878279209137
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,161,0.9828662872314453,0.9988999962806702
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,162,0.9829551577568054,0.9991540908813477
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,163,0.9800142049789429,0.9986090064048767
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,164,0.9776347875595093,0.9985480308532715
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,165,0.980536699295044,0.9983415603637695
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,166,0.9822945594787598,0.9982202649116516
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,167,0.983733057975769,0.9989603161811829
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,168,0.981170654296875,0.9852310419082642
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,169,0.9822800755500793,0.9985127449035645
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,170,0.9820466041564941,0.9985973238945007
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,171,0.9828473329544067,0.995613694190979
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,172,0.9841678142547607,0.999159038066864
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,173,0.9829216599464417,0.9936085343360901
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,174,0.9813549518585205,0.9980937838554382
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,175,0.9821821451187134,0.998779296875
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,176,0.9819162487983704,0.9878592491149902
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,177,0.9822067022323608,0.9989705681800842
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,178,0.9803310036659241,0.9977805018424988
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,179,0.9776480197906494,0.997706413269043
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,180,0.9790115356445312,0.9984725117683411
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,181,0.9794356822967529,0.995460569858551
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,182,0.981999397277832,0.9982717633247375
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,183,0.9822460412979126,0.9982889294624329
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,184,0.9818101525306702,0.9924086332321167
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,185,0.9815395474433899,0.9962902665138245
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,186,0.9824532270431519,0.9981959462165833
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,187,0.98237144947052,0.992428719997406
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,188,0.9817573428153992,0.9981769919395447
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,189,0.9813498258590698,0.9987605810165405
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,190,0.9774761199951172,0.995566725730896
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,191,0.9778091907501221,0.9982735514640808
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,192,0.9776978492736816,0.9953170418739319
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,193,0.9818532466888428,0.9949468374252319
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,194,0.9820683598518372,0.9981732368469238
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,195,0.9818481802940369,0.9927316308021545
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,196,0.9818558096885681,0.9871622920036316
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,197,0.9822992086410522,0.9944161772727966
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,198,0.9803630113601685,0.997570276260376
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,199,0.9796368479728699,0.9914037585258484
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,200,0.9783432483673096,0.997394859790802
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,201,0.9790739417076111,0.9983936548233032
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,202,0.979343831539154,0.9950689077377319
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,203,0.9805934429168701,0.9989914894104004
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,204,0.9803189635276794,0.9959564805030823
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,205,0.9834449887275696,0.9990029335021973
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,206,0.982764482498169,0.9970818758010864
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,207,0.9806376695632935,0.9939708113670349
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,208,0.9794610738754272,0.9984109401702881
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,209,0.9792725443840027,0.9975562691688538
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,210,0.9801580905914307,0.9956628084182739
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,211,0.9799582362174988,0.9978780746459961
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,212,0.9801266193389893,0.9981014728546143
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,213,0.9789788126945496,0.998498260974884
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,214,0.9793143272399902,0.9987936615943909
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,215,0.978725016117096,0.9970547556877136
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,216,0.9825165271759033,0.9967470169067383
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,217,0.9809880256652832,0.997623085975647
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,218,0.9798749685287476,0.9852486848831177
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,219,0.9802669286727905,0.9956545829772949
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,220,0.9808088541030884,0.9897581338882446
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,221,0.9784674048423767,0.994189441204071
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,222,0.9767030477523804,0.9860110282897949
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,223,0.9803436994552612,0.9931243658065796
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,224,0.9799658060073853,0.9970354437828064
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,225,0.9795913696289062,0.9925876259803772
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,226,0.9788935780525208,0.9973124265670776
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,227,0.9779881238937378,0.9901764392852783
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,228,0.9800031781196594,0.9979686141014099
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,229,0.9793656468391418,0.9940022230148315
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,230,0.9816884398460388,0.9971755146980286
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,231,0.9803718328475952,0.9983615279197693
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,232,0.9784419536590576,0.9946407675743103
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,233,0.97805255651474,0.9949204921722412
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,234,0.9758514761924744,0.9973748922348022
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,235,0.9801961779594421,0.9879279732704163
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,236,0.9773502349853516,0.9943937659263611
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,237,0.9780762195587158,0.9965721368789673
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,238,0.9767779111862183,0.9936280250549316
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,239,0.9794886112213135,0.99809330701828
