dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,epoch,step,loss
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,93,1.2818682193756104
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,94,1.267348051071167
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,95,1.2598702907562256
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,96,1.274899959564209
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,97,1.2466615438461304
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,98,1.256325364112854
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,99,1.2252404689788818
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,100,1.1397008895874023
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,101,1.1461111307144165
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,102,1.1880156993865967
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,103,1.1733869314193726
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,104,1.1043362617492676
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,105,1.2157090902328491
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,106,1.1276352405548096
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,107,1.2799336910247803
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,108,1.265149474143982
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,109,1.1952863931655884
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,110,1.2233219146728516
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,111,1.1909987926483154
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,112,1.2844719886779785
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,113,1.0519728660583496
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,114,1.1223224401474
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,115,1.1038403511047363
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,116,1.0104553699493408
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,117,1.0735416412353516
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,118,1.0956246852874756
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,119,1.1711628437042236
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,120,1.0362002849578857
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,121,1.0858317613601685
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,122,1.017776370048523
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,123,1.0518227815628052
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,124,1.0182387828826904
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,125,0.9295457005500793
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,126,0.9759035110473633
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,127,1.0082149505615234
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,128,0.9617976546287537
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,129,0.9460124373435974
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,130,1.017435908317566
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,131,0.9721540212631226
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,132,0.9782066345214844
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,133,0.9473505020141602
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,134,0.9517167210578918
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,135,0.9629578590393066
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,136,0.9162737131118774
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,137,0.9608570337295532
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,138,0.9803268313407898
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,139,0.9240509867668152
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,140,0.9632388353347778
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,141,0.841050386428833
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,142,0.898335874080658
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,143,0.8984336853027344
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,144,0.9378862977027893
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,145,0.9037495255470276
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,146,0.8344427943229675
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,147,0.9591441750526428
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,148,0.89374840259552
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,149,0.8083494901657104
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,150,0.8717666268348694
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,151,0.8591106534004211
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,152,0.7921765446662903
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,153,0.8422204852104187
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,154,0.810310423374176
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,155,0.8293675780296326
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,156,1.0003846883773804
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,157,0.7886092662811279
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,158,0.9556219577789307
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,159,0.7744788527488708
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,160,0.8812571167945862
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,161,0.8404055833816528
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,162,0.9020460844039917
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,163,0.8857097029685974
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,164,0.7466199994087219
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,165,0.7527989149093628
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,166,0.7922147512435913
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,167,0.7281609773635864
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,168,0.8263044953346252
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,169,0.7419558763504028
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,170,0.6115678548812866
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,171,0.7941006422042847
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,172,0.7407694458961487
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,173,0.7529497146606445
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,174,0.7619039416313171
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,175,0.6590270400047302
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,176,0.7108391523361206
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,177,0.7623991370201111
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,178,0.6539869904518127
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,179,0.6767937541007996
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,180,0.6582372188568115
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,181,0.6493402123451233
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,182,0.6648749113082886
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,183,0.6614488959312439
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,184,0.6270506381988525
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,185,0.6692456603050232
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,186,0.6234185099601746
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,187,0.673588216304779
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,188,0.6468544006347656
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,189,0.5780243277549744
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,190,0.6973854303359985
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,191,0.548519492149353
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,192,0.5816607475280762
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,193,0.6084889769554138
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,194,0.56772381067276
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,195,0.5730394124984741
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,196,0.5711387395858765
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,197,0.5892031192779541
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,198,0.6256589889526367
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,199,0.5849436521530151
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,200,0.5806184411048889
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,201,0.5623630285263062
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,202,0.6960670351982117
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,203,0.5742472410202026
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,204,0.6387354135513306
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,205,0.6707438826560974
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,206,0.5661764144897461
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,207,0.5482998490333557
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,208,0.574377715587616
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,209,0.5445535182952881
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,210,0.5022596120834351
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,211,0.5359449982643127
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,212,0.5426502823829651
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,213,0.5561204552650452
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,214,0.5466341972351074
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,215,0.5838831067085266
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,216,0.5199658870697021
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,217,0.5185371041297913
